param_n_estimators,param_max_depth,param_min_samples_split,F1_Score_Test,F1_Score_Std,F1_Score_Train
100,10,2,0.4140935821280299,0.057636851157059805,0.9949085390826747
200,10,2,0.39989143132000277,0.03613191249556684,0.9949085390826747
300,10,2,0.4205203967108729,0.06363148386776336,0.9949085390826747
100,10,5,0.41884311830613746,0.05943528246964295,0.9847310209053792
200,10,5,0.4205555555555555,0.020139085472373676,0.9898170781653496
300,10,5,0.44118452094642563,0.04792154416245352,0.9898170781653496
100,10,10,0.41884311830613746,0.05943528246964295,0.9847310209053792
200,10,10,0.4003119429590017,0.014311904078138414,0.9795461069629963
300,10,10,0.4003119429590017,0.014311904078138414,0.9847310209053792
100,20,2,0.41580601937744793,0.014536269743510228,1.0
200,20,2,0.39989143132000277,0.03613191249556684,1.0
300,20,2,0.4205203967108729,0.06363148386776336,1.0
100,20,5,0.4316700702452632,0.07783273627148037,1.0
200,20,5,0.4205555555555555,0.020139085472373676,1.0
300,20,5,0.44118452094642563,0.04792154416245352,1.0
100,20,10,0.4140935821280299,0.057636851157059805,0.9949085390826747
200,20,10,0.4003119429590017,0.014311904078138414,0.9949085390826747
300,20,10,0.4001720149339197,0.036488506848616827,0.9949085390826747
100,30,2,0.41580601937744793,0.014536269743510228,1.0
200,30,2,0.39989143132000277,0.03613191249556684,1.0
300,30,2,0.4205203967108729,0.06363148386776336,1.0
100,30,5,0.4316700702452632,0.07783273627148037,1.0
200,30,5,0.4205555555555555,0.020139085472373676,1.0
300,30,5,0.44118452094642563,0.04792154416245352,1.0
100,30,10,0.4140935821280299,0.057636851157059805,0.9949085390826747
200,30,10,0.4003119429590017,0.014311904078138414,0.9949085390826747
300,30,10,0.4001720149339197,0.036488506848616827,0.9949085390826747
